source	target	value	grp
0	1	20	same_link
1	3	20	same_link
2	3	20	same_link
3	4	10	same_link
3	5	10	same_link
3	6	10	same_link
3	7	10	same_link
3	8	10	same_link
3	9	10	same_link
4	10	5	same_link
5	11	5	same_link
6	12	5	same_link
7	13	5	same_link
8	14	5	same_link
9	15	5	same_link
0	16	20	same_link
16	17	20	same_link
17	18	5	same_link
17	19	5	same_link
17	20	5	same_link
17	21	5	same_link
17	22	5	same_link
17	23	5	same_link
10	18	5	same_link
11	19	5	same_link
12	20	5	same_link
13	21	5	same_link
14	22	5	same_link
15	23	5	same_link
