name	node	grp
Raw Counts	0	same_node
Normalized Counts	1	same_node
KEGG DB	2	same_node
Subset by GeneSet	3	same_node
Subset-Pathway-1	4	same_node
Subset-Pathway-2	5	same_node
Subset-Pathway-3	6	same_node
Subset-Pathway-4	7	same_node
Subset-Pathway-...	8	same_node
Subset-Pathway-n	9	same_node
PC-Max-Var	10	same_node
PC-Max-Var	11	same_node
PC-Max-Var	12	same_node
PC-Max-Var	13	same_node
PC-Max-Var	14	same_node
PC-Max-Var	15	same_node
Monocle3	16	same_node
Inferred Pseudotime	17	same_node
Meagene-1	18	same_node
Meagene-2	19	same_node
Meagene-3	20	same_node
Meagene-4	21	same_node
Meagene-...	22	same_node
Meagene-N	23	same_node
