path_id	gene	PC	loading	name	size
hsa00190	ATP6V1A	PC1	0.130961014314251	Oxidative phosphorylation	12
hsa00190	COX17	PC1	0.212182207566792	Oxidative phosphorylation	12
hsa00190	ATP5MF	PC1	0.437258834389016	Oxidative phosphorylation	12
hsa00190	NDUFB2	PC1	0.362291362083909	Oxidative phosphorylation	12
hsa00190	TCIRG1	PC1	-0.00109613523847002	Oxidative phosphorylation	12
hsa00190	SDHD	PC1	0.278054986410106	Oxidative phosphorylation	12
hsa00190	COX10	PC1	0.130717836710697	Oxidative phosphorylation	12
hsa00190	ATP5MC1	PC1	0.399278247265508	Oxidative phosphorylation	12
hsa00190	ATP6V1E1	PC1	0.0518609118145775	Oxidative phosphorylation	12
hsa00190	NDUFA6	PC1	0.347148211497802	Oxidative phosphorylation	12
hsa00190	COX7B	PC1	0.294175719324755	Oxidative phosphorylation	12
hsa00190	NDUFA1	PC1	0.389629011901942	Oxidative phosphorylation	12
hsa00230	PGM1	PC1	0.0435152581585225	Purine metabolism	39
hsa00230	AK4	PC1	-0.311829037809888	Purine metabolism	39
hsa00230	PDE4B	PC1	0.293078144486055	Purine metabolism	39
hsa00230	AK5	PC1	0.149712572637823	Purine metabolism	39
hsa00230	AMPD1	PC1	-0.0302171837250116	Purine metabolism	39
hsa00230	ADCY10	PC1	-0.100991446800974	Purine metabolism	39
hsa00230	NME7	PC1	-0.0618771812471211	Purine metabolism	39
hsa00230	ADCY3	PC1	0.0329537505582983	Purine metabolism	39
hsa00230	PDE1A	PC1	0.070246690935314	Purine metabolism	39
hsa00230	IMPDH2	PC1	-0.103477339889539	Purine metabolism	39
hsa00230	FHIT	PC1	-0.325703915596045	Purine metabolism	39
hsa00230	GMPS	PC1	-0.282671141767979	Purine metabolism	39
hsa00230	PAPSS1	PC1	-0.00515872005025864	Purine metabolism	39
hsa00230	PDE5A	PC1	-0.0467056646811873	Purine metabolism	39
hsa00230	GUCY1A1	PC1	0.320318426778892	Purine metabolism	39
hsa00230	GUCY1B1	PC1	0.279345186292692	Purine metabolism	39
hsa00230	ADCY2	PC1	0.0828778502882755	Purine metabolism	39
hsa00230	PDE4D	PC1	0.16329406908993	Purine metabolism	39
hsa00230	GMPR	PC1	0.0447551964653923	Purine metabolism	39
hsa00230	ENPP4	PC1	-0.0901591156300726	Purine metabolism	39
hsa00230	AK9	PC1	0.0618292677666386	Purine metabolism	39
hsa00230	ENPP3	PC1	0.171746142903061	Purine metabolism	39
hsa00230	PDE7B	PC1	-0.054826981288326	Purine metabolism	39
hsa00230	PDE1C	PC1	0.109928786440536	Purine metabolism	39
hsa00230	ENTPD4	PC1	-0.0368990808792699	Purine metabolism	39
hsa00230	PAPSS2	PC1	0.0264260088358844	Purine metabolism	39
hsa00230	RRM1	PC1	-0.0908803329138526	Purine metabolism	39
hsa00230	PDE3B	PC1	-0.333720999374056	Purine metabolism	39
hsa00230	PDE2A	PC1	-0.0415789392077694	Purine metabolism	39
hsa00230	PDE3A	PC1	0.212217893117707	Purine metabolism	39
hsa00230	LACC1	PC1	0.0285745991852156	Purine metabolism	39
hsa00230	ENTPD5	PC1	-0.0542813890747097	Purine metabolism	39
hsa00230	AK7	PC1	-0.19187770118822	Purine metabolism	39
hsa00230	PDE8A	PC1	0.0128599798355532	Purine metabolism	39
